title_en,title_jp,title_romaji,author_name,author_name_jp,publication_year,page_count,availability,aozora_url,language,has_translation,genre_ids
The Dancing Girl,舞姫,,Mori Ogai,森鴎外,,,free,https://www.aozora.gr.jp/cards/000129/files/58126_73682.html,ja,Yes,genre_short_story|genre_classic
The Boat on the Sanzu River,高瀬舟,,Mori Ogai,森鴎外,,,free,https://www.aozora.gr.jp/cards/000129/files/45245_22007.html,ja,Yes,genre_short_story|genre_classic
Sansho Dayu,山椒大夫,,Mori Ogai,森鴎外,,,free,https://www.aozora.gr.jp/cards/000129/files/689_23257.html,ja,Yes,genre_novel|genre_classic
The Abe Clan,阿部一族,,Mori Ogai,森鴎外,,,free,https://www.aozora.gr.jp/cards/000129/files/673_23255.html,ja,Yes,genre_short_story|genre_historical|genre_classic
The Wild Goose,雁,,Mori Ogai,森鴎外,,,free,https://www.aozora.gr.jp/cards/000129/files/45224_19919.html,ja,Yes,genre_novel|genre_classic
Last Will of Okitsu Yagoemon,興津弥五右衛門の遺書,,Mori Ogai,森鴎外,,,free,https://www.aozora.gr.jp/cards/000129/files/45209_30640.html,ja,Yes,genre_short_story|genre_historical|genre_classic
Growing Up,たけくらべ,,Higuchi Ichiyo,樋口一葉,,,free,https://www.aozora.gr.jp/cards/000064/files/56041_54765.html,ja,Yes,genre_novel|genre_classic
Muddy Bay,にごりえ,,Higuchi Ichiyo,樋口一葉,,,free,https://www.aozora.gr.jp/cards/000064/files/56042_54978.html,ja,Yes,genre_short_story|genre_classic
The Thirteenth Night,十三夜,,Higuchi Ichiyo,樋口一葉,,,free,https://www.aozora.gr.jp/cards/000064/files/386_15291.html,ja,Yes,genre_short_story|genre_classic
On the Last Day of the Year,大つごもり,,Higuchi Ichiyo,樋口一葉,,,free,https://www.aozora.gr.jp/cards/000064/files/55668_72130.html,ja,Yes,genre_short_story|genre_classic
The Holy Man of Mount Koya,高野聖,,Izumi Kyoka,泉鏡花,,,free,https://www.aozora.gr.jp/cards/000050/files/521_20583.html,ja,Yes,genre_novel|genre_classic
Genealogy of Women,婦系図,,Izumi Kyoka,泉鏡花,,,free,https://www.aozora.gr.jp/cards/000050/files/1087_34456.html,ja,Yes,genre_novel|genre_classic
Yasha-ga-ike,夜叉ヶ池,,Izumi Kyoka,泉鏡花,,,free,https://www.aozora.gr.jp/cards/000050/files/3407_19566.html,ja,Yes,genre_classic
The Castle Tower,天守物語,,Izumi Kyoka,泉鏡花,,,free,https://www.aozora.gr.jp/cards/000050/files/3065_24401.html,ja,Yes,genre_classic
"Light, Wind and Dreams",光と風と夢,,Nakajima Atsushi,中島敦,,,free,https://www.aozora.gr.jp/cards/000119/files/1743_14532.html,ja,Yes,genre_novel|genre_classic
Li Ling,李陵,,Nakajima Atsushi,中島敦,,,free,https://www.aozora.gr.jp/cards/000119/files/1737_14534.html,ja,Yes,genre_short_story|genre_historical|genre_classic
The Curse of Writing,文字禍,,Nakajima Atsushi,中島敦,,,free,https://www.aozora.gr.jp/cards/000119/files/622_14497.html,ja,Yes,genre_short_story|genre_classic
In the Town with the Castle,城のある町にて,,Kajii Motojiro,梶井基次郎,,,free,https://www.aozora.gr.jp/cards/000074/files/429_19794.html,ja,Yes,genre_short_story|genre_classic
The Carefree Patient,のんきな患者,,Kajii Motojiro,梶井基次郎,,,free,https://www.aozora.gr.jp/cards/000074/files/425_19812.html,ja,Yes,genre_short_story|genre_classic
The Wind Has Risen,風立ちぬ,,Hori Tatsuo,堀辰雄,,,free,https://www.aozora.gr.jp/cards/001030/files/4803_14204.html,ja,Yes,genre_novel|genre_classic
Naoko,菜穂子,,Hori Tatsuo,堀辰雄,,,free,https://www.aozora.gr.jp/cards/001030/files/4805_14353.html,ja,Yes,genre_novel|genre_classic
The Beautiful Village,美しい村,,Hori Tatsuo,堀辰雄,,,free,https://www.aozora.gr.jp/cards/001030/files/4812_14384.html,ja,Yes,genre_novel|genre_classic
A Strange Tale from East of the River,濹東綺譚,,Nagai Kafu,永井荷風,,,free,https://www.aozora.gr.jp/cards/001341/files/52016_42178.html,ja,Yes,genre_novel|genre_classic
Discourse on Decadence,堕落論,,Sakaguchi Ango,坂口安吾,,,free,https://www.aozora.gr.jp/cards/001095/files/42620_21407.html,ja,Yes,genre_essay|genre_classic
Under the Blossoming Cherry Trees,桜の森の満開の下,,Sakaguchi Ango,坂口安吾,,,free,https://www.aozora.gr.jp/cards/001095/files/42618_21410.html,ja,Yes,genre_short_story|genre_classic
The Idiot,白痴,,Sakaguchi Ango,坂口安吾,,,free,https://www.aozora.gr.jp/cards/001095/files/42621_21290.html,ja,Yes,genre_short_story|genre_classic
My View of Japanese Culture,日本文化私観,,Sakaguchi Ango,坂口安吾,,,free,https://www.aozora.gr.jp/cards/001095/files/42625_21289.html,ja,Yes,genre_essay|genre_classic
Yuki-onna,雪女,,Lafcadio Hearn,小泉八雲,,,free,https://www.aozora.gr.jp/cards/000258/files/50326_35772.html,ja,Yes,genre_short_story|genre_classic
Hoichi the Earless,耳無芳一の話,,Lafcadio Hearn,小泉八雲,,,free,https://www.aozora.gr.jp/cards/000258/files/42927_15424.html,ja,Yes,genre_short_story|genre_classic
Mujina,貉,,Lafcadio Hearn,小泉八雲,,,free,https://www.aozora.gr.jp/cards/000258/files/42928_15332.html,ja,Yes,genre_short_story|genre_classic
Sabu,さぶ,,Yamamoto Shugoro,山本周五郎,,,free,https://www.aozora.gr.jp/cards/001869/files/57624_69967.html,ja,Yes,genre_novel|genre_classic
Red Beard,赤ひげ診療譚,,Yamamoto Shugoro,山本周五郎,,,free,https://www.aozora.gr.jp/cards/001869/files/57841_64952.html,ja,Yes,genre_novel|genre_classic
A Town Without Seasons,季節のない街,,Yamamoto Shugoro,山本周五郎,,,free,https://www.aozora.gr.jp/cards/001869/files/57822_66094.html,ja,Yes,genre_novel|genre_classic
The Five-Storied Pagoda,五重塔,,Koda Rohan,幸田露伴,,,free,https://www.aozora.gr.jp/cards/000051/files/50351_36759.html,ja,Yes,genre_novel|genre_classic
The Elegant Buddhist,風流仏,,Koda Rohan,幸田露伴,,,free,https://www.aozora.gr.jp/cards/000051/files/2710_14020.html,ja,Yes,genre_novel|genre_classic
In Praise of Shadows,陰翳礼讃,,Tanizaki Junichiro,谷崎潤一郎,,,free,https://www.aozora.gr.jp/cards/001383/files/56642_59575.html,ja,Yes,genre_essay|genre_classic
A Portrait of Shunkin,春琴抄,,Tanizaki Junichiro,谷崎潤一郎,,,free,https://www.aozora.gr.jp/cards/001383/files/56866_58169.html,ja,Yes,genre_novel|genre_classic
The Tattooer,刺青,,Tanizaki Junichiro,谷崎潤一郎,,,free,https://www.aozora.gr.jp/cards/001383/files/56641_59496.html,ja,Yes,genre_short_story|genre_classic
Naomi,痴人の愛,,Tanizaki Junichiro,谷崎潤一郎,,,free,https://www.aozora.gr.jp/cards/001383/files/58093_62049.html,ja,Yes,genre_novel|genre_classic
Buying Gloves,手袋を買いに,,Niimi Nankichi,新美南吉,,,free,https://www.aozora.gr.jp/cards/000121/files/637_13341.html,ja,Yes,genre_short_story|genre_childrens|genre_classic
Grandfather’s Lamp,おじいさんのランプ,,Niimi Nankichi,新美南吉,,,free,https://www.aozora.gr.jp/cards/000121/files/635_14853.html,ja,Yes,genre_short_story|genre_childrens|genre_classic
The Red Candle and the Mermaid,赤い蝋燭と人魚,,Ogawa Mimei,小川未明,,,free,https://www.aozora.gr.jp/cards/001475/files/54372_46225.html,ja,Yes,genre_short_story|genre_childrens|genre_classic
Wild Rose,野ばら,,Ogawa Mimei,小川未明,,,free,https://www.aozora.gr.jp/cards/001475/files/51034_47932.html,ja,Yes,genre_short_story|genre_childrens|genre_classic
